pair_type,left_id,left_name,right_id,right_name,gpu_required_psu_w,gpu_power_w,psu_wattage,compatible
gpu_psu,17,PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,850,360,1000,yes
gpu_psu,18,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,750,,850,yes
gpu_psu,18,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,750,,700,no
gpu_psu,18,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,750,,850,yes
gpu_psu,18,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,750,,600,no
gpu_psu,18,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,750,,700,no
gpu_psu,18,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,750,,1000,yes
gpu_psu,19,SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,450,170,850,yes
gpu_psu,19,SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,450,170,700,yes
gpu_psu,19,SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,450,170,850,yes
gpu_psu,19,SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,450,170,600,yes
gpu_psu,19,SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,450,170,700,yes
gpu_psu,19,SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,450,170,1000,yes
gpu_psu,20,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 피씨디렉트,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,450,160,850,yes
gpu_psu,20,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 피씨디렉트,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,450,160,700,yes
gpu_psu,20,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 피씨디렉트,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,450,160,850,yes
gpu_psu,20,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 피씨디렉트,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,450,160,600,yes
gpu_psu,20,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 피씨디렉트,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,450,160,700,yes
gpu_psu,20,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 피씨디렉트,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,450,160,1000,yes
gpu_psu,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,550,170,850,yes
gpu_psu,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,550,170,700,yes
gpu_psu,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,550,170,850,yes
gpu_psu,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,550,170,600,yes
gpu_psu,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,550,170,700,yes
gpu_psu,21,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,550,170,1000,yes
gpu_psu,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,750,330,850,yes
gpu_psu,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,750,330,700,no
gpu_psu,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,750,330,850,yes
gpu_psu,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,750,330,600,no
gpu_psu,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,750,330,700,no
gpu_psu,22,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,750,330,1000,yes
gpu_psu,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,550,,850,yes
gpu_psu,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,550,,700,yes
gpu_psu,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,550,,850,yes
gpu_psu,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,550,,600,yes
gpu_psu,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,550,,700,yes
gpu_psu,23,GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,550,,1000,yes
gpu_psu,24,ASRock Arc B580 CHALLENGER OC D6 12GB,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,650,,850,yes
gpu_psu,24,ASRock Arc B580 CHALLENGER OC D6 12GB,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,650,,700,yes
gpu_psu,24,ASRock Arc B580 CHALLENGER OC D6 12GB,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,650,,850,yes
gpu_psu,24,ASRock Arc B580 CHALLENGER OC D6 12GB,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,650,,600,no
gpu_psu,24,ASRock Arc B580 CHALLENGER OC D6 12GB,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,650,,700,yes
gpu_psu,24,ASRock Arc B580 CHALLENGER OC D6 12GB,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,650,,1000,yes
gpu_psu,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,89,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,550,145,850,yes
gpu_psu,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,90,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,550,145,700,yes
gpu_psu,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,91,잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,550,145,850,yes
gpu_psu,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,92,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,550,145,600,yes
gpu_psu,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,93,잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,550,145,700,yes
gpu_psu,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,94,SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,550,145,1000,yes
